"","Player","Games.Played","Minutes","Points.Per.Game","Rebounds.Per.Game","Assists.Per.Game","Steals.Per.Game","Blocks.Per.Game","Turnovers.Per.Game","Field.Goal.Percent","Free.Throw.Percent","Three.Point.FieldGoal.Percent","Year","Team","City","Conference"
"2","Eron Harris",31,22,9.8,2.3,1,0.8,0.1,1.5,0.419,0.772,0.352,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"3","Deniz Kilicli",32,23.4,8.9,4.3,1.1,0.5,0.5,2.1,0.476,0.524,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"4","Aaric Murray",31,20.1,8.8,5.9,1,0.8,1.5,1.4,0.481,0.704,0.333,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"5","Terry Henderson",30,20.1,8,2.4,0.8,0.6,0.2,0.9,0.437,0.771,0.4,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"6","Juwan Staten",31,27.7,7.6,2.9,3.3,1.2,0.1,1.5,0.376,0.769,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"7","Jabarie Hinds",32,22.8,7.4,1.8,1.6,0.8,0.1,1.7,0.351,0.69,0.276,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"8","Gary Browne",32,19.8,5.6,2.8,1.5,0.8,0,1.3,0.325,0.814,0.204,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"9","Matt Humphrey",19,10.7,4.7,2,0.5,1.1,0.2,0.6,0.38,0.5,0.351,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"10","Kevin Noreen",31,18.2,3,4.4,0.8,0.4,0.3,0.8,0.46,0.6,0.304,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"11","Dominique Rutledge",26,11.5,2.8,3,0.4,0.5,0.3,1.3,0.442,0.683,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"12","Keaton Miles",29,11.5,2.6,1.7,0.8,0.6,0.6,0.3,0.418,0.75,0.316,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"13","Volodymyr Gerun",7,4.7,1.3,0.7,0,0,0.3,0,0.231,0.75,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"14","Aaron Brown",17,6.2,1.2,0.9,0.4,0.2,0.1,0.1,0.241,0.5,0.273,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"15","Richard Romeo",4,1.8,0.5,0,0.3,0,0,0,0.333,0,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"16","Aric Dickerson",2,1.5,0,0,0,0,0,0,0,0,0,"2012-2013","West Virginia Mountaineers","Morgantown, WV","Big 12"
"19","Kevin Jones",33,38.3,19.9,10.9,1.2,0.7,1,1.3,0.509,0.78,0.266,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"20","Darryl Bryant",33,37.3,16.9,3.1,2.7,1.4,0.1,2.4,0.358,0.784,0.309,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"21","Deniz Kilicli",32,26.6,10.7,5.3,1.5,0.5,0.4,2.3,0.504,0.555,0,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"22","Jabarie Hinds",33,28.8,7.4,2.5,3.3,1.4,0.1,1.9,0.419,0.612,0.321,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"23","Gary Browne",33,25.6,6.5,3.9,3,1.2,0,2.1,0.434,0.663,0.244,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"24","Aaron Brown",32,15.3,4.2,1.8,0.7,0.4,0.1,0.7,0.386,0.5,0.391,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"25","Kevin Noreen",23,12,2.2,2.7,0.4,0.3,0.2,0.3,0.567,0.654,0,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"26","Pat Forsythe",7,11.4,2.1,3.4,0,0,0.1,0.6,0.4,0.583,0,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"27","Dominique Rutledge",29,7.5,1.9,2.6,0.4,0.2,0.3,0.7,0.524,0.333,0,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"28","Keaton Miles",32,13.1,1.4,1.9,1.2,0.4,0.4,0.6,0.31,0.476,0,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"29","Paul Williamson",20,4.6,1.1,0.4,0.5,0.1,0.1,0.1,0.368,0.333,0.412,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"30","Tommie McCune",13,4.5,0.4,0.6,0.3,0.2,0,0.5,0.111,0,0.083,"2011-2012","West Virginia Mountaineers","Morgantown, WV","Big 12"
"33","Casey Mitchell",30,23.5,13.6,2.8,1.1,0.7,0.2,1.7,0.42,0.871,0.379,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"34","Kevin Jones",33,34.9,13.1,7.5,1.1,0.5,0.5,1.1,0.446,0.604,0.301,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"35","Darryl Bryant",32,26.6,11.3,2.4,3,0.9,0,2.2,0.334,0.827,0.323,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"36","John Flowers",33,29.8,9.2,6.2,1.7,0.8,2.2,1.5,0.473,0.758,0.323,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"37","Joe Mazzulla",33,28.8,7.7,3.8,4.2,0.8,0.1,1.9,0.46,0.669,0.3,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"38","Deniz Kilicli",33,16.4,6.6,4,0.9,0.2,0.4,1.8,0.486,0.567,0,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"39","Dalton Pepper",32,12.4,3.9,1.6,0.5,0.3,0,0.6,0.381,0.773,0.333,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"40","Jonnie West",23,8.1,2.9,0.7,0.3,0,0,0.1,0.385,1,0.381,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"41","Cam Thoroughman",33,20,2.7,3.9,2.2,0.5,0.2,0.9,0.453,0.577,0,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"42","Kevin Noreen",7,5.6,2.6,1.7,0.6,0.1,0,0.3,0.875,0.5,0,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"43","Dan Jennings",14,8.6,2.1,2.5,0,0.1,0.8,0.7,0.588,0.429,0,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"44","Kenny Ross",5,2,0,0.4,0,0,0,0,0,0,0,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"45","Craig Carey",3,1.3,0,0.3,0.3,0,0,0.7,0,0,0,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"46","Jake Ferguson",2,1,0,0,0,0,0,0,0,0,0,"2010-2011","West Virginia Mountaineers","Morgantown, WV","Big 12"
"49","Da'Sean Butler",38,35.8,17.2,6.2,3.1,1,0.4,1.8,0.414,0.789,0.354,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"50","Kevin Jones",38,33,13.5,7.2,1.1,0.6,0.9,1.1,0.521,0.661,0.404,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"51","Devin Ebanks",34,34.1,12,8.1,2.4,1.1,0.7,2.2,0.457,0.77,0.1,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"52","Darryl Bryant",35,24.3,9.3,2.2,3.1,0.7,0,2,0.346,0.757,0.315,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"53","Wellington Smith",38,23.3,6.6,4.1,1.3,0.7,1,1.2,0.457,0.6,0.355,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"54","Casey Mitchell",35,8.2,3.7,0.9,0.4,0.3,0,0.3,0.319,0.857,0.302,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"55","Deniz Kilicli",15,6.7,3.5,0.9,0.1,0,0,1.1,0.512,0.556,0,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"56","John Flowers",38,14.4,3.1,2.4,1.2,0.6,0.8,0.7,0.439,0.49,0.375,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"57","Dalton Pepper",30,7.6,3.1,0.6,0.5,0.1,0,0.2,0.367,0.727,0.333,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"58","Joe Mazzulla",37,16.1,2.7,1.8,2.4,0.6,0,1.1,0.369,0.563,0.125,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"59","Jonnie West",20,3.6,1.7,0.3,0.3,0,0.1,0.1,0.478,1,0.45,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"60","Dan Jennings",22,4.6,1.5,1.6,0,0,0.4,0.3,0.5,0.529,0,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"61","Cam Thoroughman",35,7.4,1,1.3,0.5,0.1,0.1,0.5,0.5,0.542,0,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"62","Cam Payne",11,2.4,0.5,0.5,0.2,0.1,0,0.5,0.286,0.25,0,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"63","Bryan Lowther",1,1,0,0,0,0,0,0,0,0,0,"2009-2010","West Virginia Mountaineers","Morgantown, WV","Big 12"
"66","Da'Sean Butler",35,33.1,17.1,5.9,1.7,1.3,0.3,2.3,0.429,0.76,0.35,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"67","Alex Ruoff",33,35.6,15.7,3.6,3.4,1.7,0.3,2.1,0.43,0.798,0.373,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"68","Devin Ebanks",35,30.2,10.5,7.8,2.7,0.8,0.7,1.9,0.47,0.7,0.125,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"69","Darryl Bryant",35,25.6,9.8,1.8,2.7,0.5,0,2.1,0.396,0.76,0.377,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"70","Kevin Jones",35,19.3,6.3,4.9,0.6,0.6,0.7,0.5,0.495,0.565,0.214,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"71","Joe Mazzulla",7,21.4,5.6,2.3,3.7,1,0,1.6,0.393,0.667,0.143,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"72","Wellington Smith",35,21.4,5.2,3.8,1.3,0.6,1.5,1,0.394,0.629,0.275,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"73","John Flowers",35,16.9,4.3,3.3,1,0.5,0.7,0.7,0.474,0.444,0.3,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"74","Jonnie West",11,3.2,1.5,0.3,0.2,0,0,0,0.313,0.8,0.333,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"75","Cam Thoroughman",33,9.2,1.2,2.3,0.7,0.4,0.1,0.6,0.438,0.5,0,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"76","Josh Sowards",16,2.2,1.1,0.3,0.2,0,0,0,0.222,0.583,0.214,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"77","Dee Proby",18,5.6,1,1.1,0.4,0.3,0.2,0.4,0.241,0.5,0,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"78","Cam Payne",11,2.4,0.4,0.2,0.1,0.1,0,0.1,0,1,0,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"79","Will Thomas",23,3.1,0.1,0.4,0.2,0,0.1,0.3,0.111,0,0,"2008-2009","West Virginia Mountaineers","Morgantown, WV","Big 12"
"82","Joe Alexander",36,31.6,16.9,6.4,2.4,0.7,1.5,2.2,0.462,0.814,0.268,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"83","Alex Ruoff",37,31.9,13.8,3.5,2.8,1.5,0.3,1.7,0.479,0.826,0.41,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"84","Da'Sean Butler",37,30.6,12.9,6.2,1.7,0.7,0.2,1.5,0.495,0.64,0.366,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"85","Darris Nichols",37,34.6,10.7,3.3,3.2,1.2,0.5,1.1,0.441,0.722,0.385,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"86","Joe Mazzulla",37,18.5,5.8,3,2.3,0.9,0,1.4,0.458,0.649,0.45,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"87","Wellington Smith",37,20.2,5.2,3.8,0.9,0.7,1.6,1.2,0.422,0.54,0.25,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"88","John Flowers",36,12.4,4.6,2.5,0.6,0.4,0.8,0.8,0.433,0.38,0.286,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"89","Jamie Smalligan",37,11.7,2.2,1.8,0.8,0.3,0.1,0.5,0.303,0.714,0.183,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"90","Josh Sowards",16,2.4,2.1,0.3,0.1,0.1,0,0.1,0.483,0.4,0.444,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"91","Ted Talkington",22,5.1,1.2,0.5,0.5,0.1,0.1,0.3,0.444,0.625,0.462,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"92","Jarrett Brown",13,3.5,1,0.6,0,0.2,0,0.2,0.444,1,0.5,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"93","Jonnie West",23,2.5,1,0.5,0.1,0.1,0,0.1,0.381,0.75,0.231,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"94","Jacob Green",10,7.5,0.8,2,0.3,0.5,0.4,0.1,0.2,0.545,0,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"95","Will Thomas",14,2.5,0.7,0.4,0.1,0.1,0,0.4,0.6,0.571,0,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"96","Cam Thoroughman",16,5.8,0.6,1.3,0.4,0.2,0.1,0.3,0.25,0.429,0,"2007-2008","West Virginia Mountaineers","Morgantown, WV","Big 12"
"99","Frank Young",36,32,15.3,4.4,1.8,1.4,0.2,1.7,0.445,0.727,0.433,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"100","Darris Nichols",36,34.8,10.9,2.9,4.6,1.3,0.1,1.3,0.498,0.843,0.42,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"101","Alex Ruoff",36,33.2,10.3,3.5,5.3,2,0.6,2.2,0.397,0.8,0.337,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"102","Joe Alexander",36,25,10.3,4.3,1.9,0.6,1.1,1.8,0.425,0.636,0.305,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"103","Da'Sean Butler",36,23.3,10.1,3.5,1,1.3,0.1,1.3,0.48,0.663,0.345,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"104","Jamie Smalligan",36,14.4,5.4,3.2,0.6,0.4,0.3,0.8,0.5,0.635,0.456,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"105","Rob Summers",36,21.6,4.4,4.6,0.9,0.8,0.9,0.6,0.633,0.541,0,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"106","Joe Mazzulla",31,8.7,3,0.8,1,0.4,0,0.7,0.388,0.708,0.259,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"107","Wellington Smith",30,4.6,2.3,0.9,0.1,0.1,0.4,0.3,0.553,0.6,0.389,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"108","Devan Bawinkel",20,9,1.9,0.4,0.6,0.1,0,0.4,0.325,0.75,0.276,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"109","Ted Talkington",18,3.2,0.7,0.3,0.3,0.2,0.1,0.2,0.5,0,0.429,"2006-2007","West Virginia Mountaineers","Morgantown, WV","Big 12"
"112","Kevin Pittsnogle",33,36,19.3,5.5,1.2,0.9,1.2,1.4,0.476,0.857,0.401,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"113","Mike Gansey",33,33.8,16.8,5.7,1.9,1.9,0.3,1.3,0.55,0.686,0.429,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"114","Johannes Herber",33,31.3,9.3,3.5,4.4,1,0.3,1.6,0.406,0.792,0.254,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"115","Patrick Beilein",33,25.2,8,2.2,2.2,1.1,0.1,1,0.355,0.8,0.33,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"116","Frank Young",33,25.6,7.4,3.5,2,0.9,0.4,0.9,0.408,0.667,0.313,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"117","J.D. Collins",33,27.1,5.2,2,3.8,1.3,0.2,1.3,0.414,0.672,0.317,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"118","Darris Nichols",33,13.4,3.1,1.2,1.5,0.5,0.1,0.4,0.384,0.818,0.219,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"119","Joe Alexander",10,3.6,1.3,0.7,0.2,0.1,0.7,0.3,0.5,0.625,0,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"120","Alex Ruoff",21,4,1,0.5,0.2,0.2,0.1,0.2,0.333,0,0.4,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"121","Rob Summers",33,3.8,0.5,0.4,0.1,0.1,0,0.2,0.471,0.333,0,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"122","Josh Sowards",5,2,0.4,0.4,0,0,0,0.6,0.333,0,0,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"123","Ted Talkington",6,2.8,0.3,1,0.3,0.3,0,0.3,0,0.5,0,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"124","Sean Martini",4,1.8,0,0,0,0,0,0,0,0,0,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"125","Nate Tallman",2,1,0,0.5,0,0,0,0,0,0,0,"2005-2006","West Virginia Mountaineers","Morgantown, WV","Big 12"
"128","Tyrone Sally",34,30.2,12.2,3.8,1.9,1.2,0.4,2,0.471,0.787,0.364,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"129","Mike Gansey",35,30.6,12,5.1,2.9,1.6,0.2,1.7,0.498,0.704,0.346,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"130","Kevin Pittsnogle",35,19.3,11.9,3.7,0.6,0.6,0.5,1.1,0.465,0.846,0.426,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"131","Johannes Herber",35,31.4,8.6,4.1,3.1,1.6,0.2,1.9,0.413,0.688,0.379,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"132","Patrick Beilein",35,21.1,8.3,1.9,1.7,0.7,0.1,1,0.383,0.685,0.355,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"133","D'or Fischer",34,19.2,7.8,4.3,0.6,0.6,1.9,1.2,0.559,0.854,0,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"134","J.D. Collins",1,16,5,0,0,2,0,1,0.4,0,0.5,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"135","J.D. Collins",35,24.2,3.8,1.4,3.3,1.1,0.1,1.4,0.364,0.636,0.345,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"136","Frank Young",32,8.8,3.3,1.3,0.6,0.2,0,0.3,0.396,0.571,0.328,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"137","Darris Nichols",35,15.8,3,1.2,1.8,0.5,0.2,0.9,0.427,0.757,0.296,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"138","Duriel Price",13,2.3,1.1,0.1,0,0,0,0.1,0.5,0.667,0.4,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"139","Luke Bonner",22,4.2,1,1,0.2,0,0.1,0,0.25,0.818,0,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"140","Brad Byerson",13,2.8,0.5,0.8,0.2,0.1,0.1,0.1,0.75,0.111,0,"2004-2005","West Virginia Mountaineers","Morgantown, WV","Big 12"
"143","Drew Schifino",11,34.2,17.6,5.1,1.4,2.1,0.5,2.6,0.435,0.603,0.313,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"144","D'or Fischer",31,27,10.8,6.2,0.9,0.6,4,1.7,0.561,0.775,0,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"145","Tyrone Sally",31,31.7,10.2,5.2,2.1,1.4,0.4,2.8,0.482,0.659,0.353,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"146","Kevin Pittsnogle",31,22.7,10.2,3.7,0.9,0.5,0.5,1.2,0.4,0.78,0.368,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"147","Patrick Beilein",31,23.7,9.3,2.1,1.8,0.7,0.1,1.4,0.408,0.794,0.406,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"148","Johannes Herber",31,33,8.2,4.3,3.3,1.4,0.3,1.5,0.395,0.659,0.304,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"149","Tyler Relph",31,17.7,5,0.9,1.5,0.7,0,1,0.386,0.862,0.363,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"150","J.D. Collins",31,23.7,4.1,1.9,3.1,1.1,0,1.5,0.423,0.643,0.404,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"151","Frank Young",21,6,1.1,1,0.2,0.2,0,0.3,0.222,0,0.226,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"152","Jerrah Young",21,7.5,0.8,1.5,0.5,0.1,0.4,0.6,0.292,0.3,0,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"153","Duriel Price",8,1.1,0.4,0.1,0,0,0,0,0.333,0,0.5,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"154","Jonathan Curran",11,1.2,0.4,0.2,0,0.1,0,0,0.4,0,0,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"155","J.D. Collins",1,20,0,0,0,0,0,1,0,0,0,"2003-2004","West Virginia Mountaineers","Morgantown, WV","Big 12"
"158","Drew Schifino",29,34.2,20.1,4.7,2.3,1.1,0.3,2.4,0.452,0.669,0.301,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"159","Kevin Pittsnogle",29,26.6,11.6,4.8,1.1,0.8,1.3,1.7,0.498,0.7,0.476,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"160","Tyrone Sally",29,29.2,8.3,4.6,2.1,1.2,0.5,2.2,0.44,0.615,0.294,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"161","Johannes Herber",29,33.7,7.2,3.9,3.8,0.8,0.3,2.3,0.409,0.577,0.38,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"162","Chaz Briggs",29,14,5.7,3.7,0.6,0.3,0.7,0.9,0.75,0.531,0,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"163","Patrick Beilein",29,16.7,5.5,1.7,1.2,0.3,0,1.2,0.341,0.762,0.343,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"164","Josh Yeager",29,14.2,4.8,1.2,0.7,0.3,0.3,0.6,0.437,0.667,0.294,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"165","J.D. Collins",29,26.6,2.3,2.3,2.3,1.4,0.2,0.9,0.316,0.462,0.2,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"166","Nick Patella",21,6.2,1.4,0.5,1,0.1,0,1,0.333,0.833,0.3,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"167","Duriel Price",7,2.3,0.9,0.3,0,0.1,0,0.1,0.4,1,0,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"168","Jonathan Curran",11,2,0.3,0.3,0.3,0,0,0.2,0.167,0,0.2,"2002-2003","West Virginia Mountaineers","Morgantown, WV","Big 12"
"171","Chris Moss",28,32.7,17.5,8,0.9,0.9,0.8,2.5,0.542,0.719,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"172","Jonathan Hargett",26,28.5,13.8,2.8,4.6,1.8,0.1,4.1,0.303,0.881,0.288,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"173","Lionel Armstead",21,31.1,10.7,3.2,1.7,1.2,0.1,2,0.383,0.771,0.385,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"174","Drew Schifino",28,21.8,9.7,3.3,1.1,2,0,1.6,0.404,0.571,0.375,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"175","Josh Yeager",28,22.9,7.5,3.6,1.7,0.6,0.6,1.5,0.528,0.467,0.405,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"176","Chaz Briggs",28,20.9,7,5,1.1,0.6,0.8,1.5,0.571,0.531,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"177","Tyrone Sally",27,16.5,4.4,3.3,1.3,0.7,0.6,2.1,0.447,0.549,0.353,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"178","John Patterson",1,6,4,1,0,1,0,0,0.5,0.667,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"179","John Oliver",25,13.8,2.2,2.1,0.7,0.4,0.2,1,0.476,0.833,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"180","Chris Garnett",22,10,2,2.5,0.4,0.2,0.3,0.8,0.486,0.417,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"181","Chris Garnett",24,9.5,1.8,2.3,0.4,0.2,0.3,0.9,0.486,0.417,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"182","Ales Chan",20,7.6,1.6,1.9,0.1,0.1,0.3,0.4,0.414,0.727,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"183","Jay Hewitt",24,11.2,1.6,1.3,1.6,0.4,0.1,1.2,0.192,0.471,0.095,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"184","Tobias Seldon",7,3.4,0.6,0.4,0.3,0,0,0.6,0.125,0.5,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"185","Justin Belcastro",3,1.7,0,0,0,0,0,0,0,0,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"186","Jonathan Curran",1,1,0,0,0,0,0,0,0,0,0,"2001-2002","West Virginia Mountaineers","Morgantown, WV","Big 12"
"189","Jaye Crockett",31,24.9,11.9,6.5,0.6,1.3,0.3,1.7,0.498,0.714,0.314,"2012-2013","Texas Tech Red Raiders","Lubbock, TX","Big 12"
"190","Jordan Tolbert",31,23,9.9,5.5,0.4,0.7,0.7,1.8,0.542,0.565,0,"2012-2013","Texas Tech Red Raiders","Lubbock, TX","Big 12"
